# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       7.565213307992e+13       1.320667596474e-25       6.126356311142e-09       1.234816309421e+22       1.415326394590e+04       1.870834749755e-10       1.070724607551e+18       3.537188411376e-09       9.012884037369e+43       1.079121004796e+33       5.777578402845e+33       2.073907250936e+43       6.913024169787e+42       3.463310090800e-08       4.160921891134e+43       1.524771318012e+44       3.120476860935e-06       3.583914038907e+00 
       7.512624933457e+13       1.339221655537e-25       6.170012056828e-09       1.217708719619e+22       1.415326394590e+04       1.883930593003e-10       1.063281636098e+18       3.561948730256e-09       8.764878518120e+43       1.056773062373e+33       5.657928253401e+33       2.016840007808e+43       6.722800026028e+42       3.463310090800e-08       4.046426731772e+43       1.482814525837e+44       3.198488782458e-06       3.496501501373e+00 
       7.460402118627e+13       1.358036380575e-25       6.211848813109e-09       1.200838144527e+22       1.415326394590e+04       1.897118107154e-10       1.055890403275e+18       3.586882371367e-09       8.523697311413e+43       1.034887932302e+33       5.540755986084e+33       1.961343071278e+43       6.537810237592e+42       3.463310090800e-08       3.935082110166e+43       1.442012249351e+44       3.276500703981e-06       3.413251465626e+00 
       7.408542322370e+13       1.377115433686e-25       6.255504558794e-09       1.184201300457e+22       1.415326394590e+04       1.910397933905e-10       1.048550549429e+18       3.611990547967e-09       8.289152634162e+43       1.013456030020e+33       5.426010285456e+33       1.907373231568e+43       6.357910771894e+42       3.463310090800e-08       3.826801333672e+43       1.402332720005e+44       3.354512625505e-06       3.333873524565e+00 
       7.357043021222e+13       1.396462528414e-25       6.299160304479e-09       1.167794949216e+22       1.415326394590e+04       1.923770719442e-10       1.041261717407e+18       3.637274481802e-09       8.061061870468e+43       9.924679694532e+32       5.313640898791e+33       1.854888467897e+43       6.182961559656e+42       3.463310090800e-08       3.721500095146e+43       1.363745043414e+44       3.432524547028e-06       3.258103671734e+00 
       7.305901709257e+13       1.416081430475e-25       6.344635039568e-09       1.151615897472e+22       1.415326394590e+04       1.937237114478e-10       1.034023552539e+18       3.662735403174e-09       7.839247429430e+43       9.719145589093e+32       5.203598614065e+33       1.803847915758e+43       6.012826385860e+42       3.463310090800e-08       3.619096407308e+43       1.326219175311e+44       3.510536468551e-06       3.185701367918e+00 
       7.255115897971e+13       1.435975958492e-25       6.388290785253e-09       1.135660996138e+22       1.415326394590e+04       1.950797774279e-10       1.026835702621e+18       3.688374550996e-09       7.623536606878e+43       9.517867970492e+32       5.095835238407e+33       1.754211835105e+43       5.847372783683e+42       3.463310090800e-08       3.519510538901e+43       1.289725898149e+44       3.588548390075e-06       3.116446990354e+00 
       7.204683116158e+13       1.456149984733e-25       6.433765520342e-09       1.119927139752e+22       1.415326394590e+04       1.964453358699e-10       1.019697817896e+18       3.714193172853e-09       7.413761450905e+43       9.320758689466e+32       4.990303576990e+33       1.705941579409e+43       5.686471931365e+42       3.463310090800e-08       3.422664952618e+43       1.254236798352e+44       3.666560311598e-06       3.050139607581e+00 
       7.154600909790e+13       1.476607435868e-25       6.477421266027e-09       1.104411265878e+22       1.415326394590e+04       1.978204532210e-10       1.012609551038e+18       3.740192525063e-09       7.209758631098e+43       9.127731422267e+32       4.886957412364e+33       1.658999565570e+43       5.529998551902e+42       3.463310090800e-08       3.328484244726e+43       1.219724244197e+44       3.744572233121e-06       2.986595032423e+00 
       7.104866841896e+13       1.497352293734e-25       6.522896001115e-09       1.089110354507e+22       1.415326394590e+04       1.992051963936e-10       1.005570557138e+18       3.766373872738e-09       7.011369311369e+43       8.938701632862e+32       4.785751484215e+33       1.613349244653e+43       5.377830815511e+42       3.463310090800e-08       3.236895086360e+43       1.186161364295e+44       3.822584154644e-06       2.925644113394e+00 
       7.055478492449e+13       1.518388596109e-25       6.568370736204e-09       1.074021427473e+22       1.415326394590e+04       2.005996327683e-10       9.985804936826e+17       3.792738489847e-09       6.818439026289e+43       8.753586535907e+32       4.686641469540e+33       1.568955073432e+43       5.229850244774e+42       3.463310090800e-08       3.147826166432e+43       1.153522026671e+44       3.900596076168e-06       2.867131231126e+00 
       7.006433458242e+13       1.539720437496e-25       6.615664460696e-09       1.059141547867e+22       1.415326394590e+04       2.020038301977e-10       9.916390205388e+17       3.819287659276e-09       6.630817560821e+43       8.572305060492e+32       4.589583963242e+33       1.525782486716e+43       5.085941622387e+42       3.463310090800e-08       3.061208136101e+43       1.121780818418e+44       3.978607997691e-06       2.810912971693e+00 
